employee_id,department,position,salary,tenure,performance_rating,satisfaction_score,overtime_hours,projects_completed,training_hours,recruitment_source,hire_date,attrition,current_date,tenure_months
63,Marketing,Senior,82905,0,3,4.616541410312763,7,7,18,LinkedIn,2015-03-04,0,2025-10-24 13:32:02.888212,129
64,Operations,Junior,73340,3,2,1.274594664591489,7,7,20,Agency,2015-03-05,0,2025-10-24 13:32:02.888212,129
65,Engineering,Mid-Level,77285,4,4,4.967556783789966,6,14,2,Agency,2015-03-06,0,2025-10-24 13:32:02.888212,129
66,HR,Manager,107860,9,3,4.805587447916425,5,11,13,Referral,2015-03-07,0,2025-10-24 13:32:02.888212,129
67,Sales,Senior,61491,3,3,1.5480836401452827,4,7,25,Agency,2015-03-08,0,2025-10-24 13:32:02.888212,129
68,HR,Senior,87838,11,3,3.1503385027702633,4,7,16,Campus,2015-03-09,0,2025-10-24 13:32:02.888212,129
69,Sales,Junior,98723,5,3,1.7396811898685773,7,6,19,Referral,2015-03-10,0,2025-10-24 13:32:02.888212,129
70,Operations,Manager,58447,0,5,2.7126206921204794,6,6,19,LinkedIn,2015-03-11,0,2025-10-24 13:32:02.888212,129
71,Operations,Director,54434,26,1,1.2457005170393307,3,8,23,LinkedIn,2015-03-12,0,2025-10-24 13:32:02.888212,129
72,Operations,Senior,71241,3,2,1.895698351186358,4,6,17,Referral,2015-03-13,0,2025-10-24 13:32:02.888212,129
73,Sales,Junior,63459,2,4,2.453091185595598,4,10,18,Agency,2015-03-14,0,2025-10-24 13:32:02.888212,129
74,HR,Director,103808,5,1,2.7545900009842192,4,6,20,Agency,2015-03-15,0,2025-10-24 13:32:02.888212,129
75,Operations,Manager,49955,0,1,4.909985032835573,7,13,24,LinkedIn,2015-03-16,0,2025-10-24 13:32:02.888212,129
76,Finance,Senior,76711,5,3,4.231462582735925,6,5,25,Campus,2015-03-17,0,2025-10-24 13:32:02.888212,129
77,Sales,Director,138651,3,1,3.9496397772477847,7,11,18,Agency,2015-03-18,0,2025-10-24 13:32:02.888212,129
78,Sales,Director,85326,2,3,3.148165258967897,3,7,17,Campus,2015-03-19,0,2025-10-24 13:32:02.888212,129
79,HR,Director,89482,15,2,4.359991042417374,5,7,19,Agency,2015-03-20,0,2025-10-24 13:32:02.888212,129
80,Sales,Senior,104017,3,4,2.3572913426228443,5,1,26,Referral,2015-03-21,0,2025-10-24 13:32:02.888212,129
81,Sales,Senior,63426,1,4,3.8355964510932643,4,14,23,Website,2015-03-22,0,2025-10-24 13:32:02.888212,128
82,Operations,Mid-Level,47964,3,3,4.975135901512688,5,3,17,LinkedIn,2015-03-23,0,2025-10-24 13:32:02.888212,128
83,HR,Manager,79412,12,3,2.258515635740795,2,7,11,Referral,2015-03-24,0,2025-10-24 13:32:02.888212,128
84,Operations,Junior,81635,0,4,3.6960701395358693,6,7,25,Agency,2015-03-25,0,2025-10-24 13:32:02.888212,128
85,Operations,Director,34544,1,2,4.377259456609529,2,14,26,LinkedIn,2015-03-26,0,2025-10-24 13:32:02.888212,128
86,HR,Mid-Level,84376,0,4,4.663230333402689,3,9,14,Website,2015-03-27,0,2025-10-24 13:32:02.888212,128
87,Engineering,Junior,101746,0,4,3.8717307637604073,3,6,17,Website,2015-03-28,0,2025-10-24 13:32:02.888212,128
88,Operations,Mid-Level,52176,8,4,2.134431693668545,5,7,24,Agency,2015-03-29,0,2025-10-24 13:32:02.888212,128
89,Finance,Senior,85888,6,3,2.305128606275786,0,10,21,LinkedIn,2015-03-30,1,2025-10-24 13:32:02.888212,128
90,Finance,Director,97306,2,2,1.0830321284958568,9,8,10,Agency,2015-03-31,0,2025-10-24 13:32:02.888212,128
91,Sales,Junior,89666,5,3,4.043543910686038,4,9,14,Website,2015-04-01,0,2025-10-24 13:32:02.888212,128
92,Finance,Junior,92025,2,4,1.1709584242478055,2,12,22,Referral,2015-04-02,0,2025-10-24 13:32:02.888212,128
93,Sales,Junior,68879,15,1,4.458609418410983,5,9,21,Referral,2015-04-03,1,2025-10-24 13:32:02.888212,128
94,Engineering,Junior,46812,17,4,1.4746424578981552,3,6,23,Campus,2015-04-04,1,2025-10-24 13:32:02.888212,128
95,HR,Junior,63821,2,2,1.687506048543697,2,10,23,Website,2015-04-05,0,2025-10-24 13:32:02.888212,128
96,HR,Mid-Level,60348,9,2,2.9061058833289493,5,11,21,Website,2015-04-06,0,2025-10-24 13:32:02.888212,128
97,HR,Director,72993,7,2,3.9515216606749695,5,4,22,Agency,2015-04-07,0,2025-10-24 13:32:02.888212,128
98,Finance,Senior,102331,1,1,1.5560088207963108,3,5,17,Campus,2015-04-08,0,2025-10-24 13:32:02.888212,128
99,Engineering,Senior,42203,1,3,2.760284300265994,4,9,20,Campus,2015-04-09,0,2025-10-24 13:32:02.888212,128
100,Finance,Senior,78606,3,2,2.931405097640419,2,9,21,LinkedIn,2015-04-10,0,2025-10-24 13:32:02.888212,128
101,Finance,Senior,48414,7,5,1.8491425666743653,9,8,28,Agency,2015-04-11,0,2025-10-24 13:32:02.888212,128
102,Engineering,Mid-Level,56498,16,3,1.462233506722527,13,11,15,Referral,2015-04-12,0,2025-10-24 13:32:02.888212,128
103,Engineering,Manager,88968,7,2,4.345683691942558,4,6,23,LinkedIn,2015-04-13,0,2025-10-24 13:32:02.888212,128
104,Engineering,Director,45251,9,3,3.009862599051062,3,6,19,Campus,2015-04-14,0,2025-10-24 13:32:02.888212,128
105,Engineering,Junior,93356,4,4,1.057524943936612,9,6,23,Referral,2015-04-15,0,2025-10-24 13:32:02.888212,128
106,HR,Manager,41195,9,4,4.211925205236415,2,5,19,Website,2015-04-16,0,2025-10-24 13:32:02.888212,128
107,Marketing,Senior,91674,7,1,4.923175221658339,4,14,25,Agency,2015-04-17,0,2025-10-24 13:32:02.888212,128
108,Marketing,Manager,36261,2,4,3.423704781656989,7,10,16,Campus,2015-04-18,0,2025-10-24 13:32:02.888212,128
109,Engineering,Director,59554,4,4,3.014833548336283,3,9,20,Website,2015-04-19,0,2025-10-24 13:32:02.888212,128
110,Marketing,Junior,122412,8,2,4.513663452179847,4,7,22,Campus,2015-04-20,0,2025-10-24 13:32:02.888212,128
111,Marketing,Junior,117713,0,1,4.810067158738395,7,5,16,Referral,2015-04-21,0,2025-10-24 13:32:02.888212,127
112,Engineering,Director,64686,8,3,4.018147663609842,3,7,21,LinkedIn,2015-04-22,1,2025-10-24 13:32:02.888212,127
113,Marketing,Director,84749,0,2,2.7818117189371514,8,7,25,Referral,2015-04-23,1,2025-10-24 13:32:02.888212,127
114,Finance,Senior,105101,3,4,3.368885597325762,6,4,19,Agency,2015-04-24,0,2025-10-24 13:32:02.888212,127
115,Sales,Junior,92032,8,3,3.803741460071997,6,6,23,Agency,2015-04-25,0,2025-10-24 13:32:02.888212,127
116,Sales,Manager,68163,1,5,1.7770942840072057,8,8,16,Campus,2015-04-26,0,2025-10-24 13:32:02.888212,127
117,Engineering,Mid-Level,56284,1,3,2.788804128865752,3,6,14,Referral,2015-04-27,1,2025-10-24 13:32:02.888212,127
118,HR,Mid-Level,96702,2,2,4.31928505886914,6,6,23,LinkedIn,2015-04-28,0,2025-10-24 13:32:02.888212,127
119,Engineering,Director,103267,11,2,3.618901393993772,5,12,17,Agency,2015-04-29,0,2025-10-24 13:32:02.888212,127
120,HR,Senior,117892,0,3,2.6448162688474164,8,8,11,LinkedIn,2015-04-30,0,2025-10-24 13:32:02.888212,127
121,Sales,Mid-Level,32818,11,4,3.6534501360587255,10,6,16,Website,2015-05-01,0,2025-10-24 13:32:02.888212,127
122,Engineering,Junior,43671,0,4,1.4728896482898395,2,8,26,Campus,2015-05-02,0,2025-10-24 13:32:02.888212,127
123,Operations,Director,104048,23,2,2.6059904422595053,4,8,25,LinkedIn,2015-05-03,0,2025-10-24 13:32:02.888212,127
124,Finance,Manager,36211,15,2,4.1725141518522255,6,10,14,Campus,2015-05-04,0,2025-10-24 13:32:02.888212,127
125,Marketing,Director,105963,3,1,1.882035148546592,4,9,12,Website,2015-05-05,0,2025-10-24 13:32:02.888212,127
126,HR,Manager,69626,3,3,1.7438460302296708,6,9,17,LinkedIn,2015-05-06,1,2025-10-24 13:32:02.888212,127
127,Operations,Director,61977,3,1,4.803274639665726,4,14,25,LinkedIn,2015-05-07,1,2025-10-24 13:32:02.888212,127
128,Marketing,Director,80135,5,3,1.8395905183449228,7,9,19,Website,2015-05-08,0,2025-10-24 13:32:02.888212,127
129,Marketing,Director,41365,0,3,2.0436743186006723,5,12,19,Referral,2015-05-09,0,2025-10-24 13:32:02.888212,127
130,Engineering,Manager,95600,0,5,4.878463755617352,1,8,16,LinkedIn,2015-05-10,0,2025-10-24 13:32:02.888212,127
131,Marketing,Manager,117240,0,3,3.9388342810601027,4,7,18,LinkedIn,2015-05-11,1,2025-10-24 13:32:02.888212,127
132,Finance,Director,96764,2,2,3.798386132094113,12,8,24,Agency,2015-05-12,0,2025-10-24 13:32:02.888212,127
133,Operations,Mid-Level,68837,1,3,4.411705535418325,10,8,20,Referral,2015-05-13,0,2025-10-24 13:32:02.888212,127
134,Marketing,Senior,36549,4,3,1.463292328947177,4,12,18,LinkedIn,2015-05-14,0,2025-10-24 13:32:02.888212,127
135,Engineering,Senior,37510,24,3,3.8238249463200287,3,8,23,Website,2015-05-15,0,2025-10-24 13:32:02.888212,127
136,Finance,Senior,41758,2,5,3.0147544373129556,6,7,20,Campus,2015-05-16,0,2025-10-24 13:32:02.888212,127
137,Sales,Manager,74693,4,4,4.316602561136559,6,9,24,Website,2015-05-17,0,2025-10-24 13:32:02.888212,127
138,Operations,Manager,77835,2,2,3.0325668746607772,5,6,16,Referral,2015-05-18,0,2025-10-24 13:32:02.888212,127
139,Marketing,Mid-Level,96711,9,2,3.4809654170756485,2,7,21,Agency,2015-05-19,0,2025-10-24 13:32:02.888212,127
140,Engineering,Senior,30099,11,3,2.910968505598144,9,6,24,Agency,2015-05-20,0,2025-10-24 13:32:02.888212,127
141,Sales,Senior,107780,10,4,2.9126356942233764,6,10,27,Agency,2015-05-21,0,2025-10-24 13:32:02.888212,126
142,Sales,Director,92360,18,1,4.071879912247326,4,6,14,Website,2015-05-22,1,2025-10-24 13:32:02.888212,126
143,HR,Manager,66829,0,3,3.514265602589133,6,10,19,Campus,2015-05-23,1,2025-10-24 13:32:02.888212,126
144,Finance,Senior,45255,9,3,3.5330528064376416,8,8,13,Campus,2015-05-24,0,2025-10-24 13:32:02.888212,126
145,Marketing,Mid-Level,106228,6,2,2.801129935326103,2,9,15,LinkedIn,2015-05-25,1,2025-10-24 13:32:02.888212,126
146,Engineering,Mid-Level,67497,1,3,3.1244379853501103,2,11,20,Campus,2015-05-26,0,2025-10-24 13:32:02.888212,126
147,HR,Senior,74499,15,5,3.982870664819149,6,7,9,Campus,2015-05-27,0,2025-10-24 13:32:02.888212,126
148,Finance,Manager,84590,0,1,4.303763676447673,6,10,22,LinkedIn,2015-05-28,0,2025-10-24 13:32:02.888212,126
149,HR,Mid-Level,52170,5,3,3.7862456085761846,4,7,22,Website,2015-05-29,0,2025-10-24 13:32:02.888212,126
150,Operations,Director,67945,1,3,4.6962919553827325,9,7,19,Website,2015-05-30,0,2025-10-24 13:32:02.888212,126
151,Finance,Mid-Level,96632,2,4,4.281296352588804,3,8,15,Referral,2015-05-31,0,2025-10-24 13:32:02.888212,126
152,Finance,Junior,94102,6,5,3.247455159238074,5,9,18,Website,2015-06-01,0,2025-10-24 13:32:02.888212,126
153,Marketing,Junior,94327,4,3,3.6856242905749474,8,9,30,Agency,2015-06-02,0,2025-10-24 13:32:02.888212,126
154,Finance,Manager,46120,2,4,4.7052331076847835,5,8,17,Agency,2015-06-03,0,2025-10-24 13:32:02.888212,126
155,HR,Senior,69085,1,3,3.4766721769722335,5,9,16,Referral,2015-06-04,1,2025-10-24 13:32:02.888212,126
156,Finance,Manager,65090,9,3,4.299227791919323,7,5,8,Campus,2015-06-05,0,2025-10-24 13:32:02.888212,126
157,Marketing,Manager,85629,0,2,3.7552420143599483,4,9,25,Referral,2015-06-06,0,2025-10-24 13:32:02.888212,126
158,Marketing,Manager,83391,2,2,3.207745444241866,6,8,13,LinkedIn,2015-06-07,0,2025-10-24 13:32:02.888212,126
159,Operations,Manager,78885,11,2,1.9673527816614125,5,11,20,Referral,2015-06-08,0,2025-10-24 13:32:02.888212,126
160,HR,Director,136643,9,3,2.7039900778737125,6,7,30,Referral,2015-06-09,0,2025-10-24 13:32:02.888212,126
161,Sales,Director,67729,2,1,4.870971299334863,5,10,21,Agency,2015-06-10,0,2025-10-24 13:32:02.888212,126
162,Sales,Mid-Level,64804,7,5,3.6310615330904,5,11,21,LinkedIn,2015-06-11,0,2025-10-24 13:32:02.888212,126
163,Finance,Junior,46081,8,2,3.2575815213559585,4,8,18,LinkedIn,2015-06-12,0,2025-10-24 13:32:02.888212,126
164,Operations,Manager,36553,10,2,4.731826502112909,4,8,21,Referral,2015-06-13,0,2025-10-24 13:32:02.888212,126
165,Engineering,Mid-Level,44492,3,3,3.346047124149795,5,8,20,LinkedIn,2015-06-14,0,2025-10-24 13:32:02.888212,126
166,Finance,Junior,57032,1,4,3.104330073669612,3,8,22,LinkedIn,2015-06-15,0,2025-10-24 13:32:02.888212,126
167,Operations,Senior,107751,1,1,4.037243420600821,5,7,7,Website,2015-06-16,0,2025-10-24 13:32:02.888212,126
168,HR,Director,75979,1,3,3.850662475946178,7,4,21,LinkedIn,2015-06-17,0,2025-10-24 13:32:02.888212,126
169,HR,Junior,79833,4,5,1.772640033633731,3,8,22,Campus,2015-06-18,0,2025-10-24 13:32:02.888212,126
170,HR,Senior,72593,0,2,2.8852330982964847,0,6,32,LinkedIn,2015-06-19,0,2025-10-24 13:32:02.888212,126
171,HR,Junior,84132,5,3,2.890061771278341,5,7,19,Agency,2015-06-20,1,2025-10-24 13:32:02.888212,125
172,HR,Director,110051,2,4,2.512898060973379,4,8,21,Website,2015-06-21,0,2025-10-24 13:32:02.888212,125
173,Operations,Director,25151,1,1,3.0691739286090125,1,6,21,Agency,2015-06-22,0,2025-10-24 13:32:02.888212,125
174,Operations,Mid-Level,105458,10,3,2.652429590908577,5,12,22,Agency,2015-06-23,0,2025-10-24 13:32:02.888212,125
175,Marketing,Manager,12124,3,3,1.7973819578847325,5,8,13,Campus,2015-06-24,0,2025-10-24 13:32:02.888212,125
176,Sales,Junior,75705,0,3,2.6494659490987242,3,11,24,Website,2015-06-25,0,2025-10-24 13:32:02.888212,125
177,HR,Junior,129797,8,2,1.2891077902927064,1,7,15,Referral,2015-06-26,0,2025-10-24 13:32:02.888212,125
178,Engineering,Senior,92016,0,1,3.3031434510976463,5,5,22,LinkedIn,2015-06-27,0,2025-10-24 13:32:02.888212,125
179,Operations,Director,84326,6,3,4.414618195764447,11,9,15,Campus,2015-06-28,0,2025-10-24 13:32:02.888212,125
180,Engineering,Junior,125048,7,1,3.901148337418221,5,8,18,Campus,2015-06-29,0,2025-10-24 13:32:02.888212,125
181,Engineering,Director,57423,2,4,2.441576160216445,5,12,17,Referral,2015-06-30,0,2025-10-24 13:32:02.888212,125
182,Engineering,Junior,85849,8,3,1.3482848223092327,7,7,18,Campus,2015-07-01,0,2025-10-24 13:32:02.888212,125
183,Marketing,Mid-Level,89452,3,3,1.808597596901083,4,8,19,Referral,2015-07-02,0,2025-10-24 13:32:02.888212,125
184,Operations,Manager,61939,3,4,3.1819613619793428,1,6,21,Referral,2015-07-03,0,2025-10-24 13:32:02.888212,125
185,Engineering,Junior,64147,0,3,1.8282283335321314,5,11,19,Referral,2015-07-04,1,2025-10-24 13:32:02.888212,125
186,HR,Director,61405,1,1,3.17589244513987,7,15,24,Campus,2015-07-05,0,2025-10-24 13:32:02.888212,125
187,Finance,Mid-Level,77182,13,5,1.9263960990555957,3,14,17,Referral,2015-07-06,0,2025-10-24 13:32:02.888212,125
188,Engineering,Junior,88667,2,2,4.395695477904291,3,8,22,Campus,2015-07-07,0,2025-10-24 13:32:02.888212,125
189,Marketing,Senior,78080,3,2,2.589085891361839,9,9,15,Website,2015-07-08,0,2025-10-24 13:32:02.888212,125
190,Operations,Manager,92736,3,4,1.9822025037779643,1,8,28,Referral,2015-07-09,0,2025-10-24 13:32:02.888212,125
191,Marketing,Junior,25771,4,3,4.249304720988246,6,7,22,Campus,2015-07-10,0,2025-10-24 13:32:02.888212,125
192,Engineering,Mid-Level,69543,0,3,2.371355859221803,6,3,16,Campus,2015-07-11,1,2025-10-24 13:32:02.888212,125
193,Operations,Senior,49414,2,2,1.4459507513551277,5,6,28,Campus,2015-07-12,0,2025-10-24 13:32:02.888212,125
194,Finance,Mid-Level,82543,6,3,3.2816379656145664,4,6,22,LinkedIn,2015-07-13,0,2025-10-24 13:32:02.888212,125
195,Engineering,Mid-Level,82172,1,2,3.326256817751955,7,10,16,LinkedIn,2015-07-14,0,2025-10-24 13:32:02.888212,125
196,Marketing,Senior,72109,1,5,3.8587827009429367,7,6,19,Referral,2015-07-15,0,2025-10-24 13:32:02.888212,125
197,Sales,Mid-Level,87756,0,2,1.9608777328335423,6,8,14,Website,2015-07-16,0,2025-10-24 13:32:02.888212,125
198,HR,Senior,99945,2,4,2.7750853563689803,5,9,14,Referral,2015-07-17,0,2025-10-24 13:32:02.888212,125
199,Marketing,Junior,73486,10,3,2.129471676170625,3,8,26,Agency,2015-07-18,0,2025-10-24 13:32:02.888212,125
200,Operations,Senior,48707,0,4,1.3238149444627525,5,11,15,Agency,2015-07-19,0,2025-10-24 13:32:02.888212,125
201,Engineering,Senior,35468,1,4,4.5064553080635665,3,8,13,Website,2015-07-20,0,2025-10-24 13:32:02.888212,124
202,HR,Manager,75902,1,3,3.9154792179533646,1,6,23,Website,2015-07-21,0,2025-10-24 13:32:02.888212,124
203,Engineering,Senior,81046,6,3,2.205852237835203,2,12,28,Website,2015-07-22,0,2025-10-24 13:32:02.888212,124
204,Operations,Senior,50761,5,2,3.3974919714879452,6,6,25,LinkedIn,2015-07-23,0,2025-10-24 13:32:02.888212,124
205,Engineering,Junior,93144,2,2,1.8050551525378897,4,10,31,LinkedIn,2015-07-24,0,2025-10-24 13:32:02.888212,124
206,Sales,Manager,63526,7,4,4.560946487183084,9,12,32,Agency,2015-07-25,0,2025-10-24 13:32:02.888212,124
207,HR,Director,33589,4,4,1.4596253734476412,4,6,15,Website,2015-07-26,1,2025-10-24 13:32:02.888212,124
208,HR,Junior,106410,11,3,1.0153485820312036,6,5,18,Campus,2015-07-27,0,2025-10-24 13:32:02.888212,124
209,Operations,Junior,103599,8,2,3.0080327909567286,8,9,12,Agency,2015-07-28,0,2025-10-24 13:32:02.888212,124
210,Sales,Director,24610,1,3,3.332511293811477,5,11,14,Website,2015-07-29,0,2025-10-24 13:32:02.888212,124
211,Marketing,Senior,60934,1,3,3.3158612811832175,3,10,25,Campus,2015-07-30,0,2025-10-24 13:32:02.888212,124
212,Engineering,Mid-Level,59960,0,3,1.2180477097513052,4,10,21,Website,2015-07-31,0,2025-10-24 13:32:02.888212,124
213,Finance,Manager,115987,2,4,2.25617522767373,3,9,27,Referral,2015-08-01,0,2025-10-24 13:32:02.888212,124
214,Engineering,Mid-Level,72517,38,5,2.9967957873653273,6,9,15,Campus,2015-08-02,0,2025-10-24 13:32:02.888212,124
215,Engineering,Director,37603,2,2,1.8663167425089635,6,11,17,Referral,2015-08-03,0,2025-10-24 13:32:02.888212,124
216,Marketing,Junior,97052,1,3,4.4905035419435855,9,6,22,LinkedIn,2015-08-04,0,2025-10-24 13:32:02.888212,124
217,Engineering,Junior,44230,7,3,1.3484371578457361,5,4,25,Agency,2015-08-05,1,2025-10-24 13:32:02.888212,124
218,Sales,Manager,68491,3,3,2.9495377666881715,5,13,11,Website,2015-08-06,0,2025-10-24 13:32:02.888212,124
